Circle,State,800 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2500 Mhz
Andhra Pradesh,Tata Teleservices Ltd.,0,486,0,0,0
Andhra Pradesh,Reliance Jio Infocom Ltd.,0,0,0,68.34,0
Andhra Pradesh,Bharti Airtel Ltd.,0,0,0,68.34,0
Andhra Pradesh,Idea Cellular Ltd.,0,0,0,0,68
Andhra Pradesh,Vodafone India Ltd.,0,0,0,0,0
Andhra Pradesh,Aircel Ltd.,0,0,0,0,0
Andhra Pradesh,Reliance Communications Ltd.,0,0,0,0,0
Assam,Tata Teleservices Ltd.,0,0,0,0,0
Assam,Reliance Jio Infocom Ltd.,0,0,0,2,0
Assam,Bharti Airtel Ltd.,0,80,0,2,0
Assam,Idea Cellular Ltd.,0,80,0,0,2
Assam,Vodafone India Ltd.,0,80,0,0,2
Assam,Aircel Ltd.,0,0,0,0,0
Assam,Reliance Communications Ltd.,0,0,0,0,0
Bihar,Tata Teleservices Ltd.,0,0,0,0,0
Bihar,Reliance Jio Infocom Ltd.,0,124,0,6.15,0
Bihar,Bharti Airtel Ltd.,0,0,172,6.15,0
Bihar,Idea Cellular Ltd.,0,124,172,0,6
Bihar,Vodafone India Ltd.,0,0,0,0,0
Bihar,Aircel Ltd.,0,124,0,0,0
Bihar,Reliance Communications Ltd.,0,0,0,0,0
Delhi,Tata Teleservices Ltd.,0,0,0,0,0
Delhi,Reliance Jio Infocom Ltd.,0,0,0,143,0
Delhi,Bharti Airtel Ltd.,0,0,1108,143,0
Delhi,Idea Cellular Ltd.,0,0,0,0,0
Delhi,Vodafone India Ltd.,0,798,0,0,0
Delhi,Aircel Ltd.,0,0,0,0,0
Delhi,Reliance Communications Ltd.,0,0,0,0,0
Gujarat,Tata Teleservices Ltd.,0,0,0,0,0
Gujarat,Reliance Jio Infocom Ltd.,670.896,0,0,61.188,0
Gujarat,Bharti Airtel Ltd.,0,0,0,61.188,0
Gujarat,Idea Cellular Ltd.,0,476,0,0,39
Gujarat,Vodafone India Ltd.,0,476,110,0,39
Gujarat,Aircel Ltd.,0,0,0,0,0
Gujarat,Reliance Communications Ltd.,0,0,0,0,0
Haryana,Tata Teleservices Ltd.,0,0,0,0,0
Haryana,Reliance Jio Infocom Ltd.,0,98.6,0,0,0
Haryana,Bharti Airtel Ltd.,0,98.6,0,0,0
Haryana,Idea Cellular Ltd.,0,98.6,0,0,0
Haryana,Vodafone India Ltd.,0,0,0,0,0
Haryana,Aircel Ltd.,0,0,0,0,0
Haryana,Reliance Communications Ltd.,0,0,0,0,0
Himachal Pradesh,Tata Teleservices Ltd.,0,0,0,0,0
Himachal Pradesh,Reliance Jio Infocom Ltd.,0,32,0,1,0
Himachal Pradesh,Bharti Airtel Ltd.,0,0,0,1,0
Himachal Pradesh,Idea Cellular Ltd.,0,32,0,0,1
Himachal Pradesh,Vodafone India Ltd.,0,0,0,0,0
Himachal Pradesh,Aircel Ltd.,0,0,0,0,0
Himachal Pradesh,Reliance Communications Ltd.,0,0,0,0,0
J&K,Tata Teleservices Ltd.,0,0,0,0,0
J&K,Reliance Jio Infocom Ltd.,0,26,0,0,0
J&K,Bharti Airtel Ltd.,0,26,22,0,0
J&K,Idea Cellular Ltd.,0,26,0,0,1
J&K,Vodafone India Ltd.,0,0,0,0,0
J&K,Aircel Ltd.,0,0,0,0,0
J&K,Reliance Communications Ltd.,0,26,0,0,0
Karnataka,Tata Teleservices Ltd.,0,0,0,0,0
Karnataka,Reliance Jio Infocom Ltd.,0,0,0,98,0
Karnataka,Bharti Airtel Ltd.,0,0,0,98,0
Karnataka,Idea Cellular Ltd.,0,0,0,0,0
Karnataka,Vodafone India Ltd.,0,0,0,0,0
Karnataka,Aircel Ltd.,0,0,0,0,0
Karnataka,Reliance Communications Ltd.,0,0,0,0,0
Kerala,Tata Teleservices Ltd.,0,0,0,0,0
Kerala,Reliance Jio Infocom Ltd.,0,0,0,17.567,0
