Circle,Day,800 Mhz,900 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2600 Mhz,Total Paired Spectrum (in MHz)
Delhi,1,771.25,3315,0,0,0,0,0
Delhi,2,771.25,3315,0,0,0,0,0
Delhi,3,771.25,3315,0,0,0,0,0
Delhi,4,778.96,3315,0,0,0,0,0
Delhi,5,794.6,3315,0,0,0,0,0
Delhi,6,851.4,3315,0,0,0,0,0
Delhi,7,877.18,3315,0,0,0,0,0
Delhi,8,894.8,3315,0,0,0,0,0
Delhi,9,903.74,3315,0,0,0,0,0
Delhi,10,931.1,3315,0,0,0,0,0
Delhi,11,959.3,3315,0,0,0,0,0
Delhi,12,988.35,3315,0,0,0,0,0
Delhi,13,998.23,3315,0,0,0,0,0
Delhi,14,1028.47,3315,0,0,0,0,0
Delhi,15,1038.75,3315,0,0,0,0,0
Delhi,16,1038.75,3315,0,0,0,0,0
Delhi,17,1038.75,3315,0,0,0,0,0
Delhi,18,1049.13,3315,0,0,0,0,0
Delhi,19,1059.62,3315,0,0,0,0,0
Kolkata,1,183.75,0,14.74,583.74,0,0,0
Kolkata,2,183.75,0,14.74,583.74,0,0,0
Kolkata,3,183.75,0,15.03,583.74,0,0,0
Kolkata,4,183.75,0,15.48,583.74,0,0,0
Kolkata,5,183.75,0,16.9,583.74,0,0,0
Kolkata,6,183.75,0,18.62,583.74,0,0,0
Kolkata,7,183.75,0,24.32,583.74,0,0,0
Kolkata,8,183.75,0,28.39,583.74,0,0,0
Kolkata,9,183.75,0,31.01,583.74,0,0,0
Kolkata,10,183.75,0,31.01,583.74,0,0,0
Kolkata,11,185.58,0,31.01,583.74,0,0,0
Kolkata,12,185.58,0,31.01,583.74,0,0,0
Kolkata,13,185.58,0,31.01,583.74,0,0,0
Kolkata,14,185.58,0,31.01,583.74,0,0,0
Kolkata,15,185.58,0,31.01,583.74,0,0,0
Kolkata,16,185.58,0,31.01,583.74,0,0,0
Kolkata,17,185.58,0,31.01,583.74,0,0,0
Kolkata,18,185.58,0,31.01,583.74,0,0,0
Kolkata,19,185.58,0,31.01,583.74,0,0,0
Mumbai,1,548.75,0,0,3245,0,0,0
Mumbai,2,548.75,0,0,3245,0,0,0
Mumbai,3,634.02,0,0,3245,0,0,0
Mumbai,4,691.08,0,0,3245,0,0,0
Mumbai,5,747.46,0,0,3245,0,0,0
Mumbai,6,747.46,0,0,3245,0,0,0
Mumbai,7,840.77,0,0,3245,0,0,0
Mumbai,8,918.46,0,0,3245,0,0,0
Mumbai,9,918.46,0,0,3245,0,0,0
Mumbai,10,918.46,0,0,3245,0,0,0
Mumbai,11,918.46,0,0,3245,0,0,0
Mumbai,12,918.46,0,0,3245,0,0,0
Mumbai,13,918.46,0,0,3245,0,0,0
Mumbai,14,918.46,0,0,3245,0,0,0
Mumbai,15,918.46,0,0,3245,0,0,0
Mumbai,16,918.46,0,0,3245,0,0,0
Mumbai,17,918.46,0,0,3245,0,0,0
Mumbai,18,918.46,0,0,3245,0,0,0
Mumbai,19,918.46,0,0,3245,0,0,0
