country,band,value,year
Albania,700,0,2017
Albania,800,0,2017
Albania,900,0,2017
Albania,1500,0,2017
Albania,1800,0,2017
Albania,2100,0,2017
Albania,2300,0,2017
Albania,2600,0,2017
Albania,3400,0,2017
Albania,3600,0,2017
Algeria,700,0,2017
Algeria,800,0,2017
Algeria,900,0,2017
Algeria,1500,0,2017
Algeria,1800,0,2017
Algeria,2100,0,2017
Algeria,2300,0,2017
Algeria,2600,0,2017
Algeria,3400,0,2017
Algeria,3600,0,2017
Argentina,700,0,2017
Argentina,800,0,2017
Argentina,900,0,2017
Argentina,1500,0,2017
Argentina,1800,0,2017
Argentina,2100,0,2017
Argentina,2300,0,2017
Argentina,2600,0,2017
Argentina,3400,0,2017
Argentina,3600,0,2017
Australia,700,0,2017
Australia,800,0,2017
Australia,900,0,2017
Australia,1500,0,2017
Australia,1800,0,2017
Australia,2100,0,2017
Australia,2300,0,2017
Australia,2600,0,2017
Australia,3400,0,2017
Australia,3600,0,2017
Bangladesh,700,0,2017
Bangladesh,800,0,2017
Bangladesh,900,0,2017
Bangladesh,1500,0,2017
Bangladesh,1800,0,2017
Bangladesh,2100,0,2017
Bangladesh,2300,0,2017
Bangladesh,2600,0,2017
Bangladesh,3400,0,2017
Bangladesh,3600,0,2017
Belgium,700,0,2017
Belgium,800,0,2017
Belgium,900,0,2017
Belgium,1500,0,2017
Belgium,1800,0,2017
Belgium,2100,0,2017
Belgium,2300,0,2017
Belgium,2600,0,2017
Belgium,3400,0,2017
Belgium,3600,0,2017
Brazil,700,0,2017
Brazil,800,0,2017
Brazil,900,0,2017
Brazil,1500,0,2017
Brazil,1800,0,2017
Brazil,2100,0,2017
Brazil,2300,0,2017
Brazil,2600,0,2017
Brazil,3400,0,2017
Brazil,3600,0,2017
Bulgaria,700,0,2017
Bulgaria,800,0,2017
Bulgaria,900,0,2017
Bulgaria,1500,0,2017
Bulgaria,1800,0,2017
Bulgaria,2100,0,2017
Bulgaria,2300,0,2017
Bulgaria,2600,0,2017
Bulgaria,3400,0,2017
Bulgaria,3600,0,2017
Chile,700,0,2017
Chile,800,0,2017
Chile,900,0,2017
Chile,1500,0,2017
Chile,1800,0,2017
Chile,2100,0,2017
Chile,2300,0,2017
Chile,2600,0,2017
Chile,3400,0,2017
Chile,3600,0,2017
Colombia,700,0,2017
Colombia,800,0,2017
Colombia,900,0,2017
Colombia,1500,0,2017
Colombia,1800,0,2017
Colombia,2100,0,2017
Colombia,2300,0,2017
Colombia,2600,0,2017
Colombia,3400,0,2017
Colombia,3600,0,2017
Costa Rica,700,0,2017
Costa Rica,800,0,2017
Costa Rica,900,0,2017
Costa Rica,1500,0,2017
Costa Rica,1800,0,2017
Costa Rica,2100,0,2017
Costa Rica,2300,0,2017
Costa Rica,2600,0,2017
Costa Rica,3400,0,2017
Costa Rica,3600,0,2017
Croatia,700,0,2017
Croatia,800,0,2017
Croatia,900,0,2017
Croatia,1500,0,2017
Croatia,1800,0,2017
Croatia,2100,0,2017
Croatia,2300,0,2017
Croatia,2600,0,2017
Croatia,3400,0,2017
Croatia,3600,0,2017
Cyprus,700,0,2017
Cyprus,800,0,2017
Cyprus,900,0,2017
Cyprus,1500,0,2017
Cyprus,1800,0,2017
Cyprus,2100,0,2017
Cyprus,2300,0,2017
Cyprus,2600,0,2017
Cyprus,3400,0,2017
Cyprus,3600,0,2017
Czech Republic,700,0,2017
Czech Republic,800,0,2017
Czech Republic,900,0,2017
Czech Republic,1500,0,2017
Czech Republic,1800,0,2017
Czech Republic,2100,0,2017
Czech Republic,2300,0,2017
Czech Republic,2600,0,2017
Czech Republic,3400,0,2017
Czech Republic,3600,0,2017
Denmark,700,0,2017
Denmark,800,0,2017
Denmark,900,0,2017
Denmark,1500,0,2017
Denmark,1800,0,2017
Denmark,2100,0,2017
Denmark,2300,0,2017
Denmark,2600,0,2017
Denmark,3400,0,2017
Denmark,3600,0,2017
Dominican Republic,700,0,2017
Dominican Republic,800,0,2017
Dominican Republic,900,0,2017
Dominican Republic,1500,0,2017
Dominican Republic,1800,0,2017
Dominican Republic,2100,0,2017
Dominican Republic,2300,0,2017
Dominican Republic,2600,0,2017
Dominican Republic,3400,0,2017
Dominican Republic,3600,0,2017
Ecuador,700,0,2017
Ecuador,800,0,2017
Ecuador,900,0,2017
Ecuador,1500,0,2017
Ecuador,1800,0,2017
Ecuador,2100,0,2017
Ecuador,2300,0,2017
Ecuador,2600,0,2017
Ecuador,3400,0,2017
Ecuador,3600,0,2017
Estonia,700,0,2017
Estonia,800,0,2017
Estonia,900,0,2017
Estonia,1500,0,2017
Estonia,1800,0,2017
Estonia,2100,0,2017
Estonia,2300,0,2017
Estonia,2600,0,2017
Estonia,3400,0,2017
Estonia,3600,0,2017
Fiji,700,0,2017
Fiji,800,0,2017
Fiji,900,0,2017
Fiji,1500,0,2017
Fiji,1800,0,2017
Fiji,2100,0,2017
Fiji,2300,0,2017
Fiji,2600,0,2017
Fiji,3400,0,2017
Fiji,3600,0,2017
Finland,700,0,2017
Finland,800,0,2017
Finland,900,0,2017
Finland,1500,0,2017
Finland,1800,0,2017
Finland,2100,0,2017
Finland,2300,0,2017
Finland,2600,0,2017
Finland,3400,0,2017
Finland,3600,0,2017
France,700,0,2017
France,800,0,2017
France,900,0,2017
France,1500,0,2017
France,1800,0,2017
France,2100,0,2017
France,2300,0,2017
France,2600,0,2017
France,3400,0,2017
France,3600,0,2017
Georgia,700,0,2017
Georgia,800,0,2017
Georgia,900,0,2017
Georgia,1500,0,2017
Georgia,1800,0,2017
Georgia,2100,0,2017
Georgia,2300,0,2017
Georgia,2600,0,2017
Georgia,3400,0,2017
Georgia,3600,0,2017
Germany,700,0,2017
Germany,800,0,2017
Germany,900,0,2017
Germany,1500,0,2017
Germany,1800,0,2017
Germany,2100,0,2017
Germany,2300,0,2017
Germany,2600,0,2017
Germany,3400,0,2017
Germany,3600,0,2017
Greece,700,0,2017
Greece,800,0,2017
Greece,900,0,2017
Greece,1500,0,2017
Greece,1800,0,2017
Greece,2100,0,2017
Greece,2300,0,2017
Greece,2600,0,2017
Greece,3400,0,2017
Greece,3600,0,2017
Honduras,700,0,2017
Honduras,800,0,2017
Honduras,900,0,2017
Honduras,1500,0,2017
Honduras,1800,0,2017
Honduras,2100,0,2017
Honduras,2300,0,2017
Honduras,2600,0,2017
Honduras,3400,0,2017
Honduras,3600,0,2017
Hong Kong China,700,0,2017
Hong Kong China,800,0,2017
Hong Kong China,900,0,2017
Hong Kong China,1500,0,2017
Hong Kong China,1800,0,2017
Hong Kong China,2100,0,2017
Hong Kong China,2300,0,2017
Hong Kong China,2600,0,2017
Hong Kong China,3400,0,2017
Hong Kong China,3600,0,2017
Hungary,700,0,2017
Hungary,800,0,2017
Hungary,900,0,2017
Hungary,1500,0,2017
Hungary,1800,0,2017
Hungary,2100,0,2017
Hungary,2300,0,2017
Hungary,2600,0,2017
Hungary,3400,0,2017
Hungary,3600,0,2017
Ireland,700,0,2017
Ireland,800,0,2017
Ireland,900,0,2017
Ireland,1500,0,2017
Ireland,1800,0,2017
Ireland,2100,0,2017
Ireland,2300,0,2017
Ireland,2600,0,2017
Ireland,3400,0,2017
Ireland,3600,0,2017
Israel,700,0,2017
Israel,800,0,2017
Israel,900,0,2017
Israel,1500,0,2017
Israel,1800,0,2017
Israel,2100,0,2017
Israel,2300,0,2017
Israel,2600,0,2017
Israel,3400,0,2017
Israel,3600,0,2017
Italy,700,0,2017
Italy,800,0,2017
Italy,900,0,2017
Italy,1500,0,2017
Italy,1800,0,2017
Italy,2100,0,2017
Italy,2300,0,2017
Italy,2600,0,2017
Italy,3400,0,2017
Italy,3600,0,2017
Jordan,700,0,2017
Jordan,800,0,2017
Jordan,900,0,2017
Jordan,1500,0,2017
Jordan,1800,0,2017
Jordan,2100,0,2017
Jordan,2300,0,2017
Jordan,2600,0,2017
Jordan,3400,0,2017
Jordan,3600,0,2017
Korea Rep.,700,0,2017
Korea Rep.,800,0,2017
Korea Rep.,900,0,2017
Korea Rep.,1500,0,2017
Korea Rep.,1800,0,2017
Korea Rep.,2100,0,2017
Korea Rep.,2300,0,2017
Korea Rep.,2600,0,2017
Korea Rep.,3400,0,2017
Korea Rep.,3600,0,2017
Kyrgyz Republic,700,0,2017
Kyrgyz Republic,800,0,2017
Kyrgyz Republic,900,0,2017
Kyrgyz Republic,1500,0,2017
Kyrgyz Republic,1800,0.165099927,2017
Kyrgyz Republic,2100,0,2017
Kyrgyz Republic,2300,0,2017
Kyrgyz Republic,2600,0,2017
Kyrgyz Republic,3400,0,2017
Kyrgyz Republic,3600,0,2017
Latvia,700,0,2017
Latvia,800,0,2017
Latvia,900,0,2017
Latvia,1500,0,2017
Latvia,1800,0,2017
Latvia,2100,0,2017
Latvia,2300,0,2017
Latvia,2600,0,2017
Latvia,3400,0,2017
Latvia,3600,0,2017
Lithuania,700,0,2017
Lithuania,800,0,2017
Lithuania,900,0,2017
Lithuania,1500,0,2017
Lithuania,1800,0,2017
Lithuania,2100,0,2017
Lithuania,2300,0,2017
Lithuania,2600,0,2017
Lithuania,3400,0,2017
Lithuania,3600,0,2017
Macedonia FYR,700,0,2017
Macedonia FYR,800,0,2017
Macedonia FYR,900,0,2017
Macedonia FYR,1500,0,2017
Macedonia FYR,1800,0,2017
Macedonia FYR,2100,0,2017
Macedonia FYR,2300,0,2017
Macedonia FYR,2600,0,2017
Macedonia FYR,3400,0,2017
Macedonia FYR,3600,0,2017
Malaysia,700,0,2017
Malaysia,800,0,2017
Malaysia,900,0,2017
Malaysia,1500,0,2017
Malaysia,1800,0,2017
Malaysia,2100,0,2017
Malaysia,2300,0,2017
Malaysia,2600,0,2017
Malaysia,3400,0,2017
Malaysia,3600,0,2017
Malta,700,0,2017
Malta,800,0,2017
Malta,900,0,2017
Malta,1500,0,2017
Malta,1800,0,2017
Malta,2100,0,2017
Malta,2300,0,2017
Malta,2600,0,2017
Malta,3400,0,2017
Malta,3600,0,2017
Moldova,700,0,2017
Moldova,800,0,2017
Moldova,900,0,2017
Moldova,1500,0,2017
Moldova,1800,0,2017
Moldova,2100,0,2017
Moldova,2300,0,2017
Moldova,2600,0,2017
Moldova,3400,0,2017
Moldova,3600,0,2017
Morocco,700,0,2017
Morocco,800,0,2017
Morocco,900,0,2017
Morocco,1500,0,2017
Morocco,1800,0,2017
Morocco,2100,0,2017
Morocco,2300,0,2017
Morocco,2600,0,2017
Morocco,3400,0,2017
Morocco,3600,0,2017
Mozambique,700,0,2017
Mozambique,800,0,2017
Mozambique,900,0,2017
Mozambique,1500,0,2017
Mozambique,1800,0,2017
Mozambique,2100,0,2017
Mozambique,2300,0,2017
Mozambique,2600,0,2017
