Circle,State,800 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2500 Mhz
Andhra Pradesh,Tata Teleservices Ltd.,0,2.4,0,0,0
Andhra Pradesh,Reliance Jio Infocom Ltd.,0,0,0,10,0
Andhra Pradesh,Bharti Airtel Ltd.,0,0,0,10,0
Andhra Pradesh,Idea Cellular Ltd.,0,0,0,0,10
Andhra Pradesh,Vodafone India Ltd.,0,0,0,0,0
Andhra Pradesh,Aircel Ltd.,0,0,0,0,0
Andhra Pradesh,Reliance Communications Ltd.,0,0,0,0,0
Assam,Tata Teleservices Ltd.,0,0,0,0,0
Assam,Reliance Jio Infocom Ltd.,0,0,0,10,0
Assam,Bharti Airtel Ltd.,0,3.8,0,10,0
Assam,Idea Cellular Ltd.,0,5,0,0,10
Assam,Vodafone India Ltd.,0,7,0,0,10
Assam,Aircel Ltd.,0,0,0,0,0
Assam,Reliance Communications Ltd.,0,0,0,0,0
Bihar,Tata Teleservices Ltd.,0,0,0,0,0
Bihar,Reliance Jio Infocom Ltd.,0,5,0,10,0
Bihar,Bharti Airtel Ltd.,0,0,5,10,0
Bihar,Idea Cellular Ltd.,0,5,5,0,10
Bihar,Vodafone India Ltd.,0,0,0,0,0
Bihar,Aircel Ltd.,0,1.6,0,0,0
Bihar,Reliance Communications Ltd.,0,0,0,0,0
Delhi,Tata Teleservices Ltd.,0,0,0,0,0
Delhi,Reliance Jio Infocom Ltd.,0,0,0,10,0
Delhi,Bharti Airtel Ltd.,0,0,5,10,0
Delhi,Idea Cellular Ltd.,0,0,0,0,0
Delhi,Vodafone India Ltd.,0,2,0,0,0
Delhi,Aircel Ltd.,0,0,0,0,0
Delhi,Reliance Communications Ltd.,0,0,0,0,0
Gujarat,Tata Teleservices Ltd.,0,0,0,0,0
Gujarat,Reliance Jio Infocom Ltd.,5,0,0,10,0
Gujarat,Bharti Airtel Ltd.,0,0,0,10,0
Gujarat,Idea Cellular Ltd.,0,8.4,0,0,10
Gujarat,Vodafone India Ltd.,0,3,0,0,20
Gujarat,Aircel Ltd.,0,0,0,0,0
Gujarat,Reliance Communications Ltd.,0,0,0,0,0
Haryana,Tata Teleservices Ltd.,0,0,0,0,0
Haryana,Reliance Jio Infocom Ltd.,0,1,0,0,0
Haryana,Bharti Airtel Ltd.,0,1.6,0,0,0
Haryana,Idea Cellular Ltd.,0,4.2,0,0,10
Haryana,Vodafone India Ltd.,0,0,5,0,10
Haryana,Aircel Ltd.,0,0,0,0,0
Haryana,Reliance Communications Ltd.,0,0,0,0,0
Himachal Pradesh,Tata Teleservices Ltd.,0,0,0,0,0
Himachal Pradesh,Reliance Jio Infocom Ltd.,0,5,0,10,0
