Band,Circle,Price
800Mhz,AndhraPradesh,0
800Mhz,Assam,0
800Mhz,Bihar,0
800Mhz,Delhi,0
800Mhz,Gujarat,670.896
800Mhz,Haryana,0
800Mhz,HP,0
800Mhz,J&K,0
800Mhz,Karnataka,0
800Mhz,Kerala,0
800Mhz,Kolkata,0
800Mhz,MP,0
800Mhz,Maharashtra,0
800Mhz,Mumbai,0
800Mhz,NorthEast,0
800Mhz,Odisha,0
800Mhz,Punjab,273.376
800Mhz,Rajasthan,463.968
800Mhz,TamilNadu,0
800Mhz,UP (E ),438
800Mhz,UP (W ),0
800Mhz,"WB,A&N",0
1800Mhz,AndhraPradesh,486
1800Mhz,Assam,80
1800Mhz,Bihar,124
1800Mhz,Delhi,798
1800Mhz,Gujarat,476
1800Mhz,Haryana,98.6
1800Mhz,HP,32
1800Mhz,J&K,26
1800Mhz,Karnataka,0
1800Mhz,Kerala,166
1800Mhz,Kolkata,302.3
1800Mhz,MP,166
1800Mhz,Maharashtra,638.6
1800Mhz,Mumbai,978.4
1800Mhz,NorthEast,22
1800Mhz,Odisha,0
1800Mhz,Punjab,154
1800Mhz,Rajasthan,183.8
1800Mhz,TamilNadu,0
1800Mhz,UP (E ),266.3
1800Mhz,UP (W ),200.6
1800Mhz,"WB,A&N",92
2100Mhz,AndhraPradesh,0
2100Mhz,Assam,0
2100Mhz,Bihar,172
2100Mhz,Delhi,1108
2100Mhz,Gujarat,110
2100Mhz,Haryana,0
2100Mhz,HP,0
2100Mhz,J&K,22
2100Mhz,Karnataka,0
2100Mhz,Kerala,354
2100Mhz,Kolkata,0
2100Mhz,MP,0
2100Mhz,Maharashtra,682
2100Mhz,Mumbai,922
2100Mhz,NorthEast,0
2100Mhz,Odisha,76
2100Mhz,Punjab,182
2100Mhz,Rajasthan,280
2100Mhz,TamilNadu,0
2100Mhz,UP (E ),220
2100Mhz,UP (W ),0
2100Mhz,"WB,A&N",0
2300Mhz,AndhraPradesh,68.34
2300Mhz,Assam,0
2300Mhz,Bihar,6.15
2300Mhz,Delhi,143
2300Mhz,Gujarat,61.188
2300Mhz,Haryana,0
2300Mhz,HP,1
2300Mhz,J&K,0
2300Mhz,Karnataka,98
2300Mhz,Kerala,17.567
2300Mhz,Kolkata,33
2300Mhz,MP,8.2
2300Mhz,Maharashtra,63.061
2300Mhz,Mumbai,146
2300Mhz,NorthEast,0
2300Mhz,Odisha,4
2300Mhz,Punjab,0
2300Mhz,Rajasthan,0
2300Mhz,TamilNadu,132
2300Mhz,UP (E ),0
2300Mhz,UP (W ),0
2300Mhz,"WB,A&N",5
2500Mhz,AndhraPradesh,68
2500Mhz,Assam,2
2500Mhz,Bihar,6
2500Mhz,Delhi,0
2500Mhz,Gujarat,39
2500Mhz,Haryana,0
2500Mhz,HP,1
2500Mhz,J&K,1
2500Mhz,Karnataka,0
2500Mhz,Kerala,16.08
2500Mhz,Kolkata,33
2500Mhz,MP,8
2500Mhz,Maharashtra,58
2500Mhz,Mumbai,0
2500Mhz,NorthEast,1
2500Mhz,Odisha,4
2500Mhz,Punjab,21
2500Mhz,Rajasthan,0
2500Mhz,TamilNadu,0
2500Mhz,UP (E ),9
2500Mhz,UP (W ),12
2500Mhz,"WB,A&N",5
