Circle,700MHz,800MHz,900MHz,1800MHz,2100MHz,2300MHz,2500MHz
AP,35,7.5,0,4.4,20,10,20
Assam,35,0,0,19.8,15,10,10
Bihar,35,2.5,4.6,12.2,20,10,10
Delhi,35,2.5,3,12.8,20,10,20
Gujarat,35,6.25,0,13,15,10,10
Haryana,35,1.25,0,7.4,15,0,10
HP,35,3.75,0,11.4,20,10,10
J&K,35,0,0,32,15,0,10
K'Taka,35,2.5,0,4.2,15,10,20
Kerala,35,2.5,0,2,15,10,10
Kolkata,35,2.5,0,4,15,10,20
MP,35,2.5,0,4.6,15,10,10
MH,35,7.5,0,13.4,15,10,20
Mumbai,35,5,0,5,20,10,10
NE,35,0,0,9.2,15,10,10
Odisha,35,3.75,0,1.4,20,10,10
Punjab,35,6.25,0,15.4,15,0,10
RJ,35,7.5,0,11,15,0,10
TN,35,2.5,0,0,15,10,20
UP (E ),35,3.75,0.6,5.4,15,0,10
UP (W ),35,2.5,1.2,14.6,15,0,10
WB,35,1.25,0,18.4,15,10,10
