Countries,Price,Band,lat,long
India ,1.37,800,28.65381,"77.2289700
"
France ,1.35,800,48.85341,"2.3488000
"
Germany ,1.54,800,52.52437,"13.4105300
"
Sweden ,0.68,800,59.33258,"18.0649000
"
U.K. ,1.78,800,51.50853,-0.12574
U.S. ,1.32,800,40.71427,-74.00597
India ,1.4025,900,28.65381,"77.2289700
"
France ,0,900,48.85341,"2.3488000
"
Germany ,0.24,900,52.52437,"13.4105300
"
Sweden ,0,900,59.33258,"18.0649000
"
U.K. ,0,900,51.50853,-0.12574
U.S. ,0,900,40.71427,-74.00597
India ,0.56,1800,28.65381,"77.2289700
"
France ,0,1800,48.85341,"2.3488000
"
Germany ,0.3,1800,52.52437,"13.4105300
"
Sweden ,0,1800,59.33258,"18.0649000
"
U.K. ,0,1800,51.50853,-0.12574
U.S. ,0,1800,40.71427,-74.00597
India ,0.5175,2100,28.65381,"77.2289700
"
France ,0.74,2100,48.85341,"2.3488000
"
Germany ,0.23,2100,52.52437,"13.4105300
"
Sweden ,0.2,2100,59.33258,"18.0649000
"
U.K. ,0.28,2100,51.50853,-0.12574
U.S. ,0.22,2100,40.71427,-74.00597
